,time,price_back,size_back,price_lay,size_lay,total_back,total_lay,trade
188,2020-03-24 13:45:05.802,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
189,2020-03-24 13:45:06.075,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
190,2020-03-24 13:45:06.343,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
191,2020-03-24 13:45:06.610,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
192,2020-03-24 13:45:06.880,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
193,2020-03-24 13:45:07.150,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
194,2020-03-24 13:45:07.421,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
195,2020-03-24 13:45:07.691,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
196,2020-03-24 13:45:07.958,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
197,2020-03-24 13:45:08.231,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
198,2020-03-24 13:45:08.500,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
199,2020-03-24 13:45:08.769,95.0,13.9,100.0,3.15,1320.5,-315.0,0.0
200,2020-03-24 13:45:09.033,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
201,2020-03-24 13:45:09.302,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
202,2020-03-24 13:45:09.574,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
203,2020-03-24 13:45:09.845,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
204,2020-03-24 13:45:10.121,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
205,2020-03-24 13:45:10.397,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
206,2020-03-24 13:45:10.667,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
207,2020-03-24 13:45:10.935,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
208,2020-03-24 13:45:11.199,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
209,2020-03-24 13:45:11.466,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
210,2020-03-24 13:45:11.743,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
211,2020-03-24 13:45:12.015,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
212,2020-03-24 13:45:12.283,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
213,2020-03-24 13:45:12.554,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
214,2020-03-24 13:45:12.817,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
215,2020-03-24 13:45:13.088,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
216,2020-03-24 13:45:13.351,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
217,2020-03-24 13:45:13.618,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
218,2020-03-24 13:45:13.892,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
219,2020-03-24 13:45:14.168,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
220,2020-03-24 13:45:14.438,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
221,2020-03-24 13:45:14.706,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
222,2020-03-24 13:45:14.974,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
223,2020-03-24 13:45:15.248,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
224,2020-03-24 13:45:15.517,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
225,2020-03-24 13:45:15.785,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
226,2020-03-24 13:45:16.051,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
227,2020-03-24 13:45:16.318,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
228,2020-03-24 13:45:16.593,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
229,2020-03-24 13:45:16.862,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
230,2020-03-24 13:45:17.136,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
231,2020-03-24 13:45:17.405,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
232,2020-03-24 13:45:17.679,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
233,2020-03-24 13:45:17.956,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
234,2020-03-24 13:45:18.226,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
235,2020-03-24 13:45:18.500,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
236,2020-03-24 13:45:18.772,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
237,2020-03-24 13:45:19.040,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
238,2020-03-24 13:45:19.309,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
239,2020-03-24 13:45:19.579,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
240,2020-03-24 13:45:19.847,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
241,2020-03-24 13:45:20.113,95.0,13.9,100.0,3.16,1320.5,-316.0,0.0
